stride,access_size,test_ptr,mean,median,hit_rate,n
1,0,94,282.8082808280828,266,0.0,9999
1,0,95,311.8223644728946,274.0,0.0,9998
1,0,96,278.0620062006201,266,0.0,9999
1,0,97,275.592,266.0,0.0,10000
1,0,98,281.8428,266.0,0.0,10000
1,0,99,297.6967696769677,274,0.0,9999
1,1,0,293.41774177417744,266,0.0,9999
1,1,1,295.4054,266.0,0.0,10000
1,1,2,301.463,266.0,0.0,10000
1,1,3,296.4874487448745,266,0.0,9999
1,1,4,296.6794,266.0,0.0,10000
1,1,5,294.962896289629,266,0.0,9999
1,1,6,287.1571157115712,266,0.0,9999
1,1,7,309.1312,274.0,0.0,10000
1,1,8,299.8054,272.0,0.0,10000
1,1,9,283.9344,272.0,0.0,10000
1,1,10,301.3304,272.0,0.0,10000
1,1,11,303.1448,266.0,0.0,10000
1,1,12,295.326,272.0,0.0,10000
1,1,13,292.5570557055706,272,0.0,9999
1,1,14,295.094,266.0,0.0,10000
1,1,15,302.2066206620662,272,0.0,9999
1,1,16,296.5554,274.0,0.0,10000
1,1,17,296.03500350035006,266,0.0,9999
1,1,18,305.2542,266.0,0.0,10000
1,1,19,290.9471894378876,266.0,0.0,9998
1,1,20,308.4456,266.0,0.0,10000
1,1,21,294.24922492249226,266,0.0,9999
1,1,22,296.5558,266.0,0.0,10000
1,1,23,288.2978,266.0,0.0,10000
1,1,24,294.627,266.0,0.0,10000
1,1,25,296.3086,266.0,0.0,10000
1,1,26,290.052,266.0,0.0,10000
1,1,27,310.2266,266.0,0.0,10000
1,1,28,305.2581258125813,274,0.0,9999
1,1,29,305.5677567756776,272,0.0,9999
1,1,30,341.9169916991699,272,0.0,9999
1,1,31,297.74217421742173,280,0.0,9999
1,1,32,324.5676,274.0,0.0,10000
1,1,33,312.738,272.0,0.0,10000
1,1,34,316.556566970091,282,0.0,9997
1,1,35,298.4562,272.0,0.0,10000
1,1,36,288.4342434243424,266,0.0,9999
1,1,37,296.5488,266.0,0.0,10000
1,1,38,298.96,272.0,0.0,10000
1,1,39,293.3624,266.0,0.0,10000
1,1,40,299.4336,272.0,0.0,10000
1,1,41,299.6336,272.0,0.0,10000
1,1,42,300.06900690069006,272,0.0,9999
1,1,43,296.553,266.0,0.0,10000
1,1,44,284.39663966396637,266,0.0,9999
1,1,45,291.767,266.0,0.0,10000
1,1,46,285.8042,266.0,0.0,10000
1,1,47,313.7421484296859,272.0,0.0,9998
1,1,48,303.8304,272.0,0.0,10000
1,1,49,293.3396,272.0,0.0,10000
1,1,50,324.7242,272.0,0.0,10000
1,1,51,327.495,266.0,0.0,10000
1,1,52,296.2974,272.0,0.0,10000
1,1,53,295.1761176117612,266,0.0,9999
1,1,54,299.1686,272.0,0.0,10000
1,1,55,301.3045304530453,272,0.0,9999
1,1,56,288.45564556455645,266,0.0,9999
1,1,57,289.4977497749775,266,0.0,9999
1,1,58,310.53385338533855,272,0.0,9999
1,1,59,296.6252,266.0,0.0,10000
1,1,60,304.8164,272.0,0.0,10000
1,1,61,299.4303430343034,272,0.0,9999
1,1,62,301.18151815181517,272,0.0,9999
1,1,63,303.8234,272.0,0.0,10000
1,1,64,311.35213521352136,272,0.0,9999
1,1,65,293.3948,266.0,0.0,10000
1,1,66,307.2454,274.0,0.0,10000
1,1,67,312.1664,272.0,0.0,10000
1,1,68,295.82618261826184,266,0.0,9999
1,1,69,302.4372437243724,272,0.0,9999
1,1,70,304.7232,272.0,0.0,10000
1,1,71,301.019,272.0,0.0,10000
1,1,72,294.2942,266.0,0.0,10000
1,1,73,294.271,266.0,0.0,10000
1,1,74,331.5676,266.0,0.0,10000
1,1,75,322.3594,272.0,0.0,10000
1,1,76,306.2532,272.0,0.0,10000
1,1,77,290.0588,266.0,0.0,10000
1,1,78,293.6072,266.0,0.0,10000
1,1,79,295.2061206120612,266,0.0,9999
1,1,80,297.4687468746875,272,0.0,9999
1,1,81,295.9644,272.0,0.0,10000
1,1,82,286.735,266.0,0.0,10000
1,1,83,287.9038,266.0,0.0,10000
1,1,84,318.15821582158213,266,0.0,9999
1,1,85,302.7528,272.0,0.0,10000
1,1,86,295.1363136313631,272,0.0,9999
1,1,87,305.3971397139714,272,0.0,9999
1,1,88,336.9346,272.0,0.0,10000
1,1,89,291.2831283128313,266,0.0,9999
1,1,90,310.8974,266.0,0.0,10000
